countyfips,state,priv_schools,priv_enrollment
29143,MO,1,74
29145,MO,1,80
29147,MO,2,207
29151,MO,5,479
29157,MO,3,784
29159,MO,5,583
29161,MO,1,10
29163,MO,2,92
29165,MO,9,1147
29167,MO,2,108
29169,MO,2,185
29173,MO,1,55
29175,MO,2,140
29181,MO,1,34
29183,MO,25,7246
29186,MO,3,492
29187,MO,3,399
29189,MO,123,26680
29195,MO,2,253
29201,MO,7,436
29205,MO,2,120
29209,MO,1,17
29213,MO,3,392
29215,MO,3,49
29217,MO,2,21
29219,MO,4,360
29221,MO,1,46
29223,MO,2,51
29225,MO,22,866
29229,MO,4,144
29510,MO,30,5813
30003,MT,2,136
30005,MT,2,100
30013,MT,7,651
30017,MT,2,164
30019,MT,1,211
30021,MT,1,9
30027,MT,2,74
30029,MT,13,1003
30031,MT,12,908
30035,MT,2,105
30041,MT,1,90
30047,MT,6,161
30049,MT,6,496
30053,MT,5,184
30063,MT,12,1008
30067,MT,2,79
30081,MT,3,211
30083,MT,1,24
30089,MT,1,17
30093,MT,3,171
30099,MT,1,55
30105,MT,1,25
30111,MT,11,1005
31001,NE,4,574
31003,NE,2,120
31011,NE,1,115
31013,NE,2,216
31019,NE,3,527
31023,NE,2,470
31025,NE,1,50
31027,NE,2,232
31031,NE,1,28
31037,NE,1,49
31039,NE,3,781
31043,NE,1,151
31045,NE,2,18
31047,NE,1,19
31053,NE,4,552
31055,NE,49,13200
31059,NE,1,15
31067,NE,2,139
31079,NE,5,533
31081,NE,2,43
31089,NE,2,231
31095,NE,1,57
31097,NE,1,14
31101,NE,2,77
31107,NE,2,113
31109,NE,27,6216
31111,NE,2,195
31119,NE,10,1589
31133,NE,1,16
31137,NE,1,31
31139,NE,3,148
31141,NE,8,849
31143,NE,1,19
31147,NE,1,201
31151,NE,2,80
31153,NE,5,1441
31155,NE,2,544
31157,NE,3,182
31159,NE,4,365
31169,NE,1,49
31173,NE,1,94
31175,NE,1,45
31177,NE,2,162
31179,NE,2,52
31185,NE,4,393
32001,NV,2,73
32003,NV,69,12825
32005,NV,5,316
32019,NV,3,78
32023,NV,2,134
32031,NV,27,3181
32510,NV,2,336
33001,NH,6,850
33003,NH,3,436
33005,NH,14,982
33007,NH,2,27
33009,NH,14,906
33011,NH,67,4859
33013,NH,16,1901
33015,NH,32,2211
33017,NH,12,1519
33019,NH,6,804
34001,NJ,21,3246
34003,NJ,99,17710
34005,NJ,32,4221
34007,NJ,46,6093
34009,NJ,7,714
34011,NJ,6,544
34013,NJ,65,10912
34015,NJ,19,2766
34017,NJ,33,5942
34019,NJ,6,594
34021,NJ,33,7333
34023,NJ,67,8402
34025,NJ,64,10622
34027,NJ,50,6701
34029,NJ,64,23478
34031,NJ,43,6670
34033,NJ,2,186
34035,NJ,49,5613
34037,NJ,11,789
34039,NJ,53,7065
34041,NJ,5,710
35001,NM,48,7306
35005,NM,5,432
35006,NM,2,94
35009,NM,1,244
35013,NM,6,652
35015,NM,1,38
35017,NM,3,106
35025,NM,4,212
35028,NM,2,17
35031,NM,5,298
35035,NM,3,246
35039,NM,2,75
35043,NM,6,631
35045,NM,7,515
35047,NM,2,263
35049,NM,16,1134
35051,NM,1,23
35061,NM,3,316
36001,NY,28,4332
36003,NY,5,296
36005,NY,61,20675
36007,NY,10,1260
36009,NY,17,656
36011,NY,8,395
36013,NY,13,527
36015,NY,5,406
36017,NY,2,129
36019,NY,3,323
36021,NY,4,414
36023,NY,4,292
36025,NY,2,104
36027,NY,26,2777
36029,NY,61,13373
36031,NY,7,477
36033,NY,4,209
36037,NY,2,199
36039,NY,1,54
36043,NY,3,146
36045,NY,3,668
36047,NY,226,84352
36049,NY,4,159
36051,NY,2,263
36053,NY,2,160
36055,NY,43,7512
36057,NY,6,373
36059,NY,91,21625
36061,NY,137,39235
36063,NY,9,872
36065,NY,5,327
36067,NY,25,3044
36069,NY,5,297
36071,NY,22,13681
36073,NY,1,21
36075,NY,2,204
36077,NY,4,101
36079,NY,5,485
36081,NY,128,34868
36083,NY,10,1728
36085,NY,35,7069
36087,NY,51,10594
36089,NY,16,676
36091,NY,11,1032
36093,NY,7,680
36095,NY,2,19
36097,NY,2,29
36099,NY,2,92
36101,NY,5,405
36103,NY,59,11589
36105,NY,7,857
36107,NY,2,68
36109,NY,5,362
36111,NY,13,1246
36113,NY,2,190
36115,NY,2,35
36117,NY,2,98
36119,NY,81,17600
36121,NY,3,169
36123,NY,11,308
37001,NC,7,1528
37005,NC,1,28
37011,NC,2,111
37013,NC,3,403
37015,NC,2,345
37017,NC,2,103
37019,NC,7,461
37021,NC,30,3463
37023,NC,4,190
37025,NC,9,2298
37027,NC,1,143
37031,NC,5,348
37035,NC,10,1428
37037,NC,4,139
37039,NC,1,9
37041,NC,1,8
37043,NC,1,23
37045,NC,2,137
37047,NC,3,34
37049,NC,6,1054
37051,NC,21,4080
37053,NC,1,20
37055,NC,2,88
37057,NC,7,1193
37059,NC,1,60
37061,NC,4,109
37063,NC,24,4398
37067,NC,17,3026
37069,NC,2,113
37071,NC,7,1387
37079,NC,1,92
37081,NC,25,5595
37083,NC,3,447
37085,NC,4,376
37087,NC,2,29
37089,NC,11,896
37091,NC,2,385
37093,NC,3,159
37095,NC,1,30
37097,NC,9,1066
37099,NC,3,189
37101,NC,3,338
37105,NC,3,629
37107,NC,2,1037
37109,NC,2,99
37111,NC,2,280
37113,NC,1,63
37115,NC,1,26
37119,NC,60,15740
37121,NC,3,70
37123,NC,1,45
37125,NC,7,1053
37127,NC,5,827
37129,NC,17,2593
37131,NC,1,144
37133,NC,9,1100
37135,NC,6,644
37137,NC,1,75
37139,NC,3,169
37141,NC,1,13
37147,NC,11,1407
37151,NC,4,246
37153,NC,3,147
37155,NC,3,117
37157,NC,4,236
37159,NC,8,818
37161,NC,6,265
37163,NC,6,688
37165,NC,3,275
37167,NC,2,244
37169,NC,2,198
37171,NC,2,96
37173,NC,2,89
37175,NC,4,138
37179,NC,4,627
37181,NC,2,418
37183,NC,52,15883
37185,NC,1,19
37189,NC,2,137
37191,NC,8,1064
37193,NC,2,202
37195,NC,5,1003
37197,NC,1,40
37199,NC,3,61
38003,ND,1,40
38015,ND,9,1650
38017,ND,5,1367
38019,ND,1,43
38035,ND,3,232
38037,ND,1,23
38053,ND,1,55
38059,ND,1,59
38069,ND,1,39
38071,ND,1,124
38077,ND,1,95
38079,ND,1,38
38085,ND,2,247
38089,ND,6,1024
38093,ND,4,274
38101,ND,3,657
38105,ND,1,162
39001,OH,1,113
39003,OH,8,1651
39005,OH,5,210
39007,OH,22,1197
39011,OH,1,139
39013,OH,7,620
39015,OH,2,134
39017,OH,19,3750
39019,OH,1,50
39021,OH,2,100
39023,OH,8,1213
39025,OH,12,2226
39027,OH,1,113
39029,OH,4,580
39031,OH,14,481
39033,OH,3,137
39035,OH,104,28690
39037,OH,2,234
39039,OH,1,79
39041,OH,14,2096
39043,OH,3,687
39045,OH,6,729
39047,OH,1,95
39049,OH,77,16621
39051,OH,3,247
39053,OH,1,129
39055,OH,49,4605
39057,OH,10,876
39059,OH,3,188
39061,OH,94,22744
39063,OH,1,36
39065,OH,9,216
39069,OH,3,239
39071,OH,2,174
39073,OH,2,107
39075,OH,98,2997
39077,OH,7,1241
39079,OH,2,202
39081,OH,2,433
39083,OH,3,46
39085,OH,12,2690
39087,OH,2,180
39089,OH,9,1414
39091,OH,1,242
39093,OH,17,3039
39095,OH,28,8724
39097,OH,3,375
39099,OH,13,2640
39101,OH,1,105
39103,OH,8,688
39105,OH,1,53
39107,OH,1,128
39109,OH,9,1023
39111,OH,1,25
39113,OH,34,8016
39117,OH,1,117
39119,OH,6,442
39123,OH,4,178
39125,OH,1,73
39127,OH,1,80
39129,OH,2,247
39131,OH,2,116
39133,OH,4,515
39137,OH,3,716
39139,OH,7,1514
39141,OH,3,461
39143,OH,6,1005
39145,OH,2,249
39147,OH,1,478
39149,OH,2,235
39151,OH,29,3632
39153,OH,42,9098
39155,OH,23,2047
39157,OH,19,815
39159,OH,1,173
39161,OH,1,85
39163,OH,1,25
39165,OH,16,3669
39167,OH,4,300
39169,OH,69,2745
39171,OH,2,169
39173,OH,6,671
39175,OH,2,291
40001,OK,1,56
40013,OK,1,151
40017,OK,4,764
40019,OK,2,117
40021,OK,1,48
40023,OK,1,13
40027,OK,10,942
40031,OK,3,253
40035,OK,1,37
40037,OK,2,129
40041,OK,1,47
40047,OK,4,337
40051,OK,1,13
40065,OK,1,112
40071,OK,2,253
40073,OK,2,103
40083,OK,1,123
40097,OK,1,69
40101,OK,3,172
40109,OK,32,7362
40111,OK,1,61
40113,OK,1,4
40119,OK,2,153
40121,OK,2,222
40125,OK,2,208
40131,OK,3,151
40143,OK,37,9871
40145,OK,1,9
40147,OK,3,417
40153,OK,1,48
41001,OR,1,86
41003,OR,7,999
41005,OR,27,3668
41009,OR,3,106
41011,OR,5,165
41013,OR,1,30
41015,OR,1,48
41017,OR,21,1517
41019,OR,7,416
41027,OR,3,230
41029,OR,9,1614
41033,OR,6,426
41035,OR,3,223
41037,OR,1,43
41039,OR,28,2106
41041,OR,2,143
41043,OR,5,597
41045,OR,2,136
41047,OR,20,2695
41051,OR,68,10085
41053,OR,4,309
41057,OR,3,137
41059,OR,4,180
41061,OR,4,280
41063,OR,1,11
41065,OR,2,63
41067,OR,49,8585
41071,OR,8,806
42001,PA,9,1430
42003,PA,119,17144
42005,PA,7,322
42007,PA,9,827
42009,PA,11,303
42011,PA,45,4354
42013,PA,19,1479
42015,PA,5,187
42017,PA,87,9237
42019,PA,21,2316
42021,PA,12,1728
42025,PA,4,259
42027,PA,30,1341
42029,PA,100,10171
42031,PA,12,310
42033,PA,11,522
42035,PA,20,900
42037,PA,6,487
42039,PA,37,1212
42041,PA,38,3170
42043,PA,43,5001
42045,PA,74,11438
42047,PA,5,654
42049,PA,22,3991
42051,PA,10,741
42053,PA,2,141
42055,PA,33,2639
42057,PA,2,45
42059,PA,2,85
42061,PA,7,570
42063,PA,38,1033
42065,PA,16,378
42067,PA,16,614
42069,PA,23,2903
42071,PA,205,10952
42073,PA,11,363
42075,PA,13,1172
42077,PA,38,4337
42079,PA,26,2898
42081,PA,14,511
42083,PA,5,257
42085,PA,27,1049
42087,PA,31,1168
42089,PA,10,883
42091,PA,135,21253
42093,PA,4,164
42095,PA,17,3294
42097,PA,8,357
42099,PA,16,478
42101,PA,128,28375
42103,PA,1,29
42105,PA,4,140
42107,PA,10,1017
42109,PA,19,660
42111,PA,21,716
42115,PA,1,101
42117,PA,5,260
42119,PA,10,381
42121,PA,8,386
42123,PA,11,381
42125,PA,13,787
42129,PA,23,1788
42131,PA,2,67
42133,PA,33,1917
44001,RI,7,754
44003,RI,12,1453
44005,RI,6,848
44007,RI,51,9040
44009,RI,8,621
45001,SC,3,206
45003,SC,12,939
45007,SC,8,754
45009,SC,1,187
45011,SC,4,232
45013,SC,11,2211
45015,SC,9,1436
45017,SC,2,305
45019,SC,37,5706
45023,SC,1,46
45025,SC,6,307
45027,SC,2,1151
45029,SC,3,433
45031,SC,6,488
45033,SC,1,321
45035,SC,5,1193
45037,SC,1,149
45039,SC,1,165
45041,SC,10,1711
45043,SC,4,51
45045,SC,41,5996
45047,SC,3,660
45049,SC,1,161
45051,SC,11,1186
45053,SC,3,686
45055,SC,5,358
45059,SC,1,44
45061,SC,1,283
45063,SC,11,1308
45067,SC,2,380
45069,SC,3,257
45071,SC,1,146
45073,SC,7,401
45075,SC,5,98
45077,SC,4,247
45079,SC,28,4017
45081,SC,1,174
45083,SC,11,1164
45085,SC,9,1472
45087,SC,1,92
45089,SC,4,471
45091,SC,10,1187
46005,SD,1,87
46011,SD,1,29
46013,SD,9,1126
46015,SD,1,167
46019,SD,1,103
46027,SD,1,97
46029,SD,4,465
46035,SD,2,273
46041,SD,1,93
46047,SD,1,8
46051,SD,1,86
46057,SD,1,6
46059,SD,1,82
46065,SD,1,186
46067,SD,1,90
46077,SD,1,22
46079,SD,2,48
46081,SD,1,42
46083,SD,2,1097
46099,SD,14,1909
46103,SD,11,1338
46113,SD,3,761
46121,SD,2,51
46135,SD,3,407
47001,TN,4,249
47003,TN,2,452
47005,TN,1,46
47007,TN,1,10
47009,TN,7,878
47011,TN,6,382
47013,TN,1,34
47019,TN,1,7
47021,TN,2,250
47023,TN,1,20
47025,TN,4,383
47029,TN,1,1
47031,TN,1,65
47033,TN,1,42
47035,TN,3,117
47037,TN,52,14024
47039,TN,1,22
47041,TN,1,9
47043,TN,3,129
47045,TN,3,114
47047,TN,3,849
47049,TN,1,63
47051,TN,3,399
47055,TN,1,9
47059,TN,5,280
47061,TN,2,175
47063,TN,5,394
47065,TN,35,10121
47071,TN,2,129
47077,TN,2,14
47079,TN,1,5
47081,TN,2,62
47085,TN,2,175
47089,TN,1,30
47091,TN,1,65
47093,TN,38,6705
47099,TN,9,284
47101,TN,3,77
47103,TN,1,280
47105,TN,2,96
47107,TN,1,108
47109,TN,2,103
47111,TN,1,89
47113,TN,10,2682
47115,TN,1,23
47119,TN,6,1549
47123,TN,2,216
47125,TN,8,603
47129,TN,2,19
47133,TN,1,31
47135,TN,2,26
47139,TN,1,10
47141,TN,4,268
47143,TN,1,119
47145,TN,5,590
47147,TN,3,447
47149,TN,14,2194
47151,TN,1,20
47153,TN,1,20
47155,TN,5,654
47157,TN,65,13689
47163,TN,8,722
47165,TN,9,1180
47167,TN,1,179
47177,TN,5,297
47179,TN,3,111
47181,TN,1,12
47183,TN,2,92
47185,TN,2,62
47187,TN,13,2814
47189,TN,6,1032
48001,TX,1,117
48005,TX,3,184
48013,TX,1,56
48015,TX,2,191
48019,TX,1,56
48021,TX,1,90
48025,TX,2,127
48027,TX,10,973
48029,TX,71,14724
48031,TX,1,13
48037,TX,3,126
48039,TX,13,1384
48041,TX,9,1590
48043,TX,1,26
48049,TX,1,53
48051,TX,1,104
48053,TX,4,297
48055,TX,2,84
48061,TX,15,2375
48073,TX,2,37
48085,TX,48,6293
48089,TX,2,227
48091,TX,9,1455
48097,TX,1,131
48113,TX,142,29411
48117,TX,2,107
48121,TX,29,6595
48123,TX,1,69
48133,TX,1,3
48135,TX,7,704
48139,TX,4,553
48141,TX,37,5074
48143,TX,1,21
48147,TX,1,43
48149,TX,2,228
48157,TX,35,4792
48163,TX,1,30
48165,TX,2,534
48167,TX,20,2083
48171,TX,4,476
48177,TX,1,21
48179,TX,1,48
48181,TX,4,595
48183,TX,8,818
48187,TX,3,296
48199,TX,1,8
48201,TX,238,43002
48203,TX,3,262
48205,TX,3,206
48209,TX,9,1087
48213,TX,2,133
48215,TX,22,2415
48219,TX,1,15
48221,TX,1,44
48225,TX,1,47
48227,TX,1,28
48231,TX,1,210
48239,TX,1,27
48241,TX,1,32
48243,TX,1,50
48245,TX,7,2034
48249,TX,3,277
48251,TX,9,721
48257,TX,2,95
48259,TX,3,857
48265,TX,3,270
48273,TX,3,197
48277,TX,2,110
48285,TX,3,578
48287,TX,2,229
48291,TX,2,89
48299,TX,1,63
48303,TX,11,2182
48309,TX,10,1647
48315,TX,2,51
48321,TX,1,30
48323,TX,2,226
48325,TX,1,76
48329,TX,8,2417
48331,TX,2,115
48339,TX,21,4124
48347,TX,4,309
48349,TX,2,202
48355,TX,18,2204
48361,TX,2,279
48363,TX,1,105
48367,TX,7,1069
48373,TX,2,95
48375,TX,4,798
48381,TX,4,396
48397,TX,4,405
48401,TX,1,124
48415,TX,1,27
48423,TX,9,2555
48425,TX,1,187
48427,TX,1,17
48439,TX,86,16506
48441,TX,4,221
48449,TX,1,17
48451,TX,6,520
48453,TX,60,10679
48457,TX,1,20
48463,TX,2,102
48465,TX,3,353
48467,TX,2,64
48469,TX,8,1596
48471,TX,4,554
48473,TX,1,21
48477,TX,3,313
48479,TX,6,1149
48481,TX,2,285
48485,TX,3,659
48487,TX,1,4
48491,TX,23,3238
48493,TX,1,42
48497,TX,1,7
48503,TX,1,45
48507,TX,1,43
49003,UT,1,50
49005,UT,2,96
49011,UT,9,874
49013,UT,1,33
49017,UT,1,27
49019,UT,1,8
49021,UT,2,57
49027,UT,1,27
49035,UT,54,9296
49037,UT,2,38
49039,UT,2,343
49041,UT,1,11
49043,UT,3,130
49045,UT,2,190
49047,UT,1,86
49049,UT,16,1887
49051,UT,1,33
49053,UT,9,924
49057,UT,12,850
50001,VT,3,115
50003,VT,10,1439
50005,VT,10,923
50007,VT,17,1602
50011,VT,1,69
50015,VT,2,137
50017,VT,3,70
50019,VT,3,170
50021,VT,8,429
50023,VT,9,397
50025,VT,13,1415
50027,VT,4,375
51003,VA,12,1286
51005,VA,1,54
51007,VA,2,137
51009,VA,2,286
51011,VA,2,199
51013,VA,13,1033
51015,VA,2,174
51019,VA,2,82
51025,VA,1,338
51027,VA,1,223
51029,VA,3,76
51031,VA,3,131
51033,VA,1,145
51035,VA,1,3
51041,VA,15,1559
51043,VA,3,392
51045,VA,1,8
51047,VA,3,343
51049,VA,1,21
51053,VA,1,37
51057,VA,3,250
51059,VA,107,15611
51061,VA,7,1264
51063,VA,2,50
51065,VA,4,474
51067,VA,3,324
51069,VA,7,534
51071,VA,1,85
51073,VA,2,109
51075,VA,5,212
51077,VA,1,142
51079,VA,1,180
51081,VA,1,33
51083,VA,2,59
51085,VA,5,227
51087,VA,23,4157
51089,VA,1,331
51093,VA,1,653
51095,VA,2,233
51103,VA,1,109
51105,VA,1,10
51107,VA,36,2572
51109,VA,1,49
51113,VA,2,421
51117,VA,1,81
51119,VA,1,211
51121,VA,6,495
51125,VA,1,112
51127,VA,1,147
51131,VA,4,382
51135,VA,1,286
51137,VA,1,133
51139,VA,2,136
51141,VA,1,41
51143,VA,5,513
51145,VA,1,219
51147,VA,3,309
51153,VA,25,2531
51157,VA,3,186
51161,VA,5,1287
51163,VA,1,38
51165,VA,8,472
51167,VA,1,48
51171,VA,5,625
51175,VA,1,413
51177,VA,6,1384
51179,VA,7,819
51183,VA,1,155
51185,VA,3,105
51187,VA,4,174
51191,VA,3,325
51193,VA,1,12
51195,VA,3,111
51197,VA,2,29
51199,VA,4,450
51510,VA,14,3184
51520,VA,2,179
51540,VA,8,1245
51550,VA,25,2254
51590,VA,4,542
51600,VA,6,1445
51610,VA,2,460
51630,VA,2,54
51650,VA,8,681
51660,VA,4,579
51670,VA,3,148
51678,VA,1,28
51680,VA,8,5939
51683,VA,5,894
51685,VA,1,118
51700,VA,14,1788
51710,VA,25,3994
51730,VA,3,155
51740,VA,8,1400
51760,VA,26,5676
51770,VA,6,566
51775,VA,1,47
51790,VA,5,663
51800,VA,3,1007
51810,VA,43,4157
51820,VA,2,138
51830,VA,1,409
51840,VA,2,273
53001,WA,1,1
53003,WA,2,113
53005,WA,9,1383
53007,WA,6,518
53009,WA,4,230
53011,WA,20,2785
53015,WA,5,443
53019,WA,1,35
53021,WA,4,493
53025,WA,5,376
53027,WA,3,164
53029,WA,5,282
53031,WA,4,159
53033,WA,196,32261
53035,WA,20,1461
53037,WA,2,88
53039,WA,3,90
53041,WA,2,248
53043,WA,1,63
53045,WA,2,98
53047,WA,5,128
53049,WA,1,8
53051,WA,1,20
53053,WA,35,6146
53055,WA,5,245
53057,WA,7,753
53061,WA,39,4238
53063,WA,39,7066
53065,WA,4,139
53067,WA,17,1497
53071,WA,8,947
53073,WA,20,3396
53075,WA,3,118
53077,WA,16,1625
54001,WV,1,37
54003,WV,4,645
54005,WV,2,69
54007,WV,2,37
54011,WV,5,927
54015,WV,1,21
54019,WV,5,179
54021,WV,1,11
54023,WV,2,11
54025,WV,3,297
54027,WV,1,19
54029,WV,3,453
54033,WV,7,569
54037,WV,3,100
54039,WV,9,1634
54041,WV,1,110
54043,WV,1,15
54045,WV,1,79
54049,WV,2,147
54051,WV,1,154
54053,WV,2,24
54055,WV,1,188
54059,WV,2,177
54061,WV,8,1002
54063,WV,1,13
54067,WV,2,179
54069,WV,8,1374
54071,WV,1,11
54075,WV,1,5
54079,WV,2,490
54081,WV,6,462
54083,WV,5,262
54085,WV,1,7
54089,WV,1,42
54107,WV,5,480
55001,WI,1,6
55003,WI,1,89
55005,WI,8,289
55009,WI,23,4810
55011,WI,1,14
55015,WI,6,387
55017,WI,13,776
55019,WI,19,564
55021,WI,12,701
55023,WI,3,134
55025,WI,39,5984
55027,WI,17,1378
55029,WI,3,199
55031,WI,3,202
55033,WI,4,174
55035,WI,13,2108
55039,WI,14,1959
55043,WI,9,511
55045,WI,3,119
55047,WI,6,275
55049,WI,1,133
55053,WI,1,14
55055,WI,22,2560
55057,WI,3,205
55059,WI,8,1990
55061,WI,7,275
55063,WI,19,2780
55065,WI,1,30
55067,WI,1,123
55069,WI,5,356
55071,WI,16,1610
55073,WI,17,1105
55075,WI,6,332
55077,WI,1,44
55079,WI,129,32494
55081,WI,9,542
55083,WI,3,89
55085,WI,2,197
55087,WI,18,4437
55089,WI,11,1510
55091,WI,3,172
55093,WI,4,183
55095,WI,1,33
55097,WI,8,786
55101,WI,22,3593
55103,WI,3,98
55105,WI,11,1107
55107,WI,2,84
55109,WI,5,697
55111,WI,9,654
55113,WI,2,43
55115,WI,7,566
55117,WI,14,1792
55119,WI,4,148
55121,WI,8,320
55123,WI,7,226
55125,WI,2,80
55127,WI,14,953
55129,WI,1,95
55131,WI,19,2760
55133,WI,49,7858
55135,WI,9,587
55137,WI,2,47
55139,WI,17,2949
55141,WI,13,1240
56005,WY,3,221
56013,WY,3,98
56015,WY,2,87
56017,WY,1,10
56019,WY,1,12
56021,WY,5,332
56025,WY,5,135
56029,WY,1,16
56033,WY,3,174
56037,WY,2,74
56039,WY,4,235
